lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
56,0,185.0,9,25,3,2,1,0,0,1
1,1,99.0,6,13,4,0,1,0,0,1
43,2,123.3,9,2,4,2,1,0,3,1
79,1,86.4,12,22,4,1,0,0,0,1
31,0,92.4,10,25,4,0,2,0,0,1
57,0,86.0,6,10,3,1,0,1,0,1
39,2,74.8,11,17,4,3,1,3,0,1
212,0,126.9,10,31,4,4,1,0,3,0
0,1,102.4,9,8,3,2,0,0,0,1
197,1,85.5,8,1,4,1,1,3,0,1
167,1,114.04,9,29,4,5,2,0,0,0
173,0,52.0,1,27,3,5,2,0,3,1
1,0,112.0,10,25,4,1,0,3,0,1
33,0,85.5,9,10,3,1,1,3,0,1
5,4,154.0,9,17,4,1,1,3,0,1
15,0,106.33,12,7,4,3,0,0,0,1
279,1,80.75,8,25,4,5,2,3,0,0
3,1,90.0,8,10,4,1,1,0,0,1
41,0,66.88,12,1,4,3,0,3,0,1
40,2,130.9,12,4,4,2,2,0,3,1
28,0,75.0,10,29,3,2,0,0,0,1
8,1,119.0,4,26,4,2,0,3,0,1
54,1,118.2,12,30,4,4,1,0,3,1
32,1,58.0,1,8,3,2,1,0,0,1
10,1,118.0,8,28,4,0,2,3,0,0
5,1,99.0,4,2,4,1,0,3,0,1
48,0,122.22,8,22,3,3,1,0,0,1
92,0,150.3,8,20,4,2,2,0,3,0
49,0,109.8,8,28,4,0,1,0,0,1
0,0,0.0,11,10,1,2,0,0,0,1
9,0,89.0,4,8,4,1,0,3,0,0
1,1,149.0,9,5,4,1,1,3,0,1
121,0,91.5,4,30,4,1,2,3,0,1
21,0,64.8,3,1,3,1,0,0,0,1
7,0,176.0,9,30,3,2,0,0,4,1
24,0,285.17,5,21,4,1,2,0,6,0
0,0,79.0,12,3,2,1,0,0,0,1
29,0,73.42,2,20,4,4,2,0,0,0
83,1,96.9,7,24,3,1,2,0,0,1
62,1,120.88,12,23,4,2,1,1,0,1
212,0,75.23,10,9,4,2,2,0,0,0
170,2,96.9,9,12,3,1,0,1,0,1
46,1,67.15,3,10,4,3,1,3,0,1
102,0,80.75,9,18,3,1,2,0,0,1
5,0,116.0,4,20,4,2,0,0,3,0
82,0,202.5,8,30,4,5,0,0,5,0
9,1,121.0,6,12,4,2,2,0,0,1
159,1,130.5,8,7,4,1,2,0,0,0
269,0,105.3,12,31,4,1,1,0,0,1
133,0,103.7,6,27,4,4,1,0,3,0
7,2,143.2,9,21,4,4,1,0,0,1
32,1,85.0,10,25,3,5,0,0,0,1
61,1,115.25,9,3,3,2,2,1,0,1
3,0,110.0,4,21,4,1,0,0,0,1
4,1,119.0,8,24,4,1,0,3,0,1
72,1,99.45,4,12,4,4,0,0,0,1
0,0,97.32,4,23,4,1,0,0,0,1
22,1,104.22,9,24,4,3,2,0,3,1
2,1,75.0,2,8,4,1,1,3,0,1
12,0,112.42,5,30,4,2,1,0,3,0
134,2,96.3,4,29,4,2,0,0,0,1
6,0,0.0,11,13,1,0,2,0,0,1
183,0,123.3,10,28,4,2,2,0,3,0
256,0,103.7,10,16,4,3,2,0,3,0
2,0,45.5,1,27,3,4,0,0,0,1
30,1,150.3,1,15,4,2,0,0,5,1
4,1,87.0,11,27,4,2,1,0,0,1
62,1,69.5,3,4,4,2,1,3,0,1
117,0,82.45,4,27,4,4,1,3,0,0
247,0,111.0,6,6,3,1,1,1,0,0
4,3,306.0,7,8,4,2,1,0,6,1
125,1,99.45,7,23,4,2,2,0,0,1
67,0,73.95,3,10,4,3,1,0,0,1
141,0,76.5,8,7,4,3,2,0,0,1
34,0,56.16,12,17,4,1,1,3,0,1
6,0,55.0,12,3,3,2,0,0,0,1
66,2,81.9,11,19,4,1,0,0,3,1
73,3,89.25,10,11,4,5,2,0,0,1
4,3,128.67,11,19,4,1,2,0,0,1
0,1,83.2,12,7,4,1,0,0,0,1
5,2,81.07,2,27,4,1,0,0,0,1
192,1,105.3,7,31,4,1,2,0,0,0
88,0,68.0,10,7,2,2,1,0,0,1
66,1,90.0,11,26,3,3,2,0,3,1
134,2,139.95,8,19,4,2,2,0,3,1
9,1,64.03,2,26,4,2,1,0,3,1
4,1,103.18,4,21,4,3,2,0,3,1
129,0,132.88,7,26,4,5,1,0,3,0
41,0,60.0,11,1,3,2,2,0,3,1
4,0,147.33,10,16,4,1,2,0,0,1
75,0,70.0,3,17,3,3,1,0,0,0
28,1,147.25,4,11,4,3,1,1,0,1
37,0,88.0,12,8,4,3,0,3,0,0
33,2,122.4,6,19,4,1,2,0,3,1
188,0,90.95,8,26,4,3,2,0,0,0
20,0,139.0,7,11,4,4,1,3,0,0
36,2,96.3,10,21,4,4,0,0,0,1
77,1,116.1,5,7,4,1,0,3,0,1
1,0,0.0,8,14,1,2,1,0,1,1
35,1,129.0,10,28,4,2,1,0,0,1
19,1,149.0,9,24,4,1,0,3,0,0
39,1,97.4,11,15,4,5,2,0,0,1
72,1,140.4,5,1,4,1,2,0,3,0
192,1,94.5,8,9,4,3,0,0,0,0
76,1,98.5,4,24,3,3,2,1,0,1
6,0,88.92,3,22,4,5,0,3,0,1
40,0,106.9,9,4,4,5,2,0,1,0
0,0,75.0,3,7,3,2,1,0,0,1
30,1,96.9,11,15,4,4,0,0,3,0
173,0,121.5,8,15,4,1,1,0,0,0
152,1,114.3,8,6,4,1,0,0,0,0
0,0,79.0,2,6,4,1,0,0,0,1
93,0,90.95,4,15,4,1,0,0,0,1
15,0,65.0,2,2,2,1,0,0,0,1
69,0,126.9,6,17,4,2,1,0,0,1
108,1,97.0,12,24,4,3,2,3,0,0
79,1,87.3,3,28,4,2,1,0,0,1
152,2,114.63,7,21,4,5,2,0,3,0
68,0,58.0,9,29,3,2,0,1,0,1
10,1,112.33,6,21,4,3,0,3,0,1
9,1,149.0,10,6,4,2,0,3,0,1
1,0,75.0,11,29,3,1,0,0,0,1
224,1,90.95,8,21,4,3,2,0,0,1
44,1,102.6,10,2,4,0,2,3,0,1
1,0,67.0,6,1,2,1,0,0,0,1
40,0,128.1,6,27,4,2,1,0,0,0
47,0,103.28,4,1,4,2,2,0,3,1
11,1,124.33,6,21,4,3,0,0,0,1
89,1,127.8,7,14,4,2,0,0,3,0
159,0,187.85,5,26,4,3,0,0,5,0
3,0,127.8,4,29,3,1,0,0,3,1
18,2,121.0,6,8,4,2,0,0,0,1
31,1,225.4,8,25,4,1,0,0,5,1
42,0,144.23,8,29,4,3,1,0,3,0
112,1,120.0,6,2,4,3,0,0,0,0
49,0,91.44,2,22,3,5,2,0,4,0
15,0,111.0,12,3,4,1,0,0,0,1
1,0,81.0,12,14,4,0,1,0,0,1
102,0,58.0,3,25,3,2,2,0,0,1
34,0,59.0,1,26,2,1,0,0,0,1
14,0,82.4,3,16,3,1,0,0,0,1
0,1,73.0,12,5,4,1,1,0,1,1
1,1,106.2,9,29,4,1,0,0,0,1
50,2,97.2,10,9,4,0,1,3,0,1
311,2,9.0,11,10,1,2,0,0,3,1
99,2,141.75,7,18,4,3,1,1,0,1
20,0,65.0,10,11,2,1,2,0,0,1
112,1,117.9,8,16,4,2,0,0,0,1
57,0,118.8,4,22,4,2,0,0,3,0
84,3,118.8,10,3,4,1,1,0,0,1
54,1,98.1,12,20,3,3,0,0,0,1
51,0,106.2,4,1,4,2,1,0,3,1
5,2,90.0,8,10,4,5,1,0,0,1
117,1,94.5,5,3,4,2,0,3,0,1
32,1,130.0,11,11,4,2,0,0,0,0
25,0,146.11,5,31,4,4,0,0,3,0
180,0,80.75,5,23,3,5,1,0,0,1
31,0,67.0,11,13,2,2,2,0,0,1
2,1,76.0,1,4,4,0,1,0,0,1
99,1,85.5,4,8,4,2,0,3,1,0
54,1,74.8,11,18,4,2,2,3,0,1
29,0,100.33,3,12,4,4,2,0,3,1
104,1,135.9,5,17,4,3,0,0,0,1
2,0,156.0,7,30,4,1,0,0,3,1
32,0,121.5,4,11,4,0,1,0,0,0
40,2,98.1,3,10,4,3,1,0,0,1
75,3,157.25,11,7,4,2,1,0,0,1
1,1,101.0,4,8,4,1,0,0,0,1
39,0,81.9,3,14,4,2,1,0,0,1
159,1,132.96,7,22,4,5,2,1,0,0
54,2,104.4,3,31,4,3,0,0,3,1
73,1,119.85,5,12,4,3,2,0,0,1
23,0,79.0,1,2,3,1,2,1,0,1
43,3,96.3,10,29,4,3,0,0,0,1
161,2,114.75,7,27,4,4,0,0,0,0
96,0,63.75,8,27,3,1,2,3,0,1
45,0,112.5,4,7,4,1,0,0,0,0
9,1,131.0,4,12,4,1,0,0,0,1
69,1,173.0,11,7,4,3,1,3,0,0
18,0,150.0,6,17,4,2,0,0,0,0
179,1,66.76,7,4,4,4,1,0,0,1
39,0,198.9,7,20,4,2,0,0,5,0
101,0,103.5,7,3,4,5,2,3,0,0
4,1,106.0,8,19,4,2,0,0,0,1
7,1,79.67,1,20,4,3,0,3,0,1
72,1,67.22,3,31,4,3,0,0,0,1
54,0,65.0,11,18,2,1,0,0,0,1
67,1,74.8,12,17,4,6,2,3,0,1
1,0,91.0,11,17,4,1,0,0,0,1
95,1,106.71,6,4,4,1,0,0,0,1
24,1,106.33,12,7,4,3,0,0,0,1
82,1,74.15,4,25,4,0,1,0,0,0
120,1,103.5,5,2,4,1,1,3,0,1
15,0,106.33,4,15,4,2,1,3,0,0
8,1,125.0,3,18,4,2,0,0,0,1
2,1,86.0,12,14,2,3,0,0,0,1
26,2,169.52,9,28,4,4,1,0,6,0
79,0,76.5,3,21,4,2,1,3,0,1
292,1,163.63,10,23,4,4,2,0,1,0
106,0,108.3,7,11,4,2,1,0,0,0
5,0,95.0,6,20,2,0,1,0,0,1
180,0,96.3,8,28,4,0,2,0,0,0
17,1,136.0,8,19,4,2,0,0,0,0
68,0,123.17,7,16,4,5,2,0,3,0
36,1,135.9,8,14,4,0,2,0,0,1
142,0,143.1,9,20,4,5,1,0,3,0
92,0,89.55,9,12,3,2,2,0,0,1
152,1,76.58,5,2,4,3,1,0,0,0
163,1,73.37,4,9,4,5,2,0,0,1
3,1,91.0,5,21,3,1,1,1,0,1
187,0,96.05,8,28,4,5,2,0,0,0
99,2,161.1,11,7,4,2,1,3,0,1
136,1,90.9,8,26,4,2,0,0,0,1
16,1,96.25,12,5,4,1,1,0,1,1
17,2,128.0,9,15,4,2,0,3,0,1
53,0,148.5,7,9,4,1,1,0,3,0
14,1,87.0,11,4,4,1,0,0,0,0
47,0,120.0,4,28,4,3,0,0,0,1
75,0,80.75,9,17,3,1,1,0,0,1
83,0,83.59,5,18,4,2,0,3,0,1
35,3,138.0,10,9,4,1,2,0,0,1
292,0,112.0,7,21,3,2,0,1,0,0
229,1,96.3,8,5,4,2,1,0,0,1
43,2,109.2,4,28,4,3,0,3,0,1
13,0,131.97,10,22,3,5,2,1,0,1
3,2,65.0,11,20,2,3,2,0,0,1
193,0,160.2,12,29,4,3,0,0,5,1
103,1,137.7,7,14,4,3,0,0,3,1
19,1,121.75,10,1,4,3,1,0,3,1
0,2,110.5,1,30,4,1,1,0,0,1
16,1,112.42,6,4,4,1,1,0,3,1
79,1,67.85,4,4,4,5,1,0,0,1
51,0,123.3,4,14,4,2,0,0,3,0
0,0,148.0,8,19,4,2,0,3,0,1
81,0,75.0,4,29,3,2,1,0,0,1
20,1,109.0,6,13,4,2,1,3,0,1
64,1,94.5,7,25,4,3,1,3,0,1
61,0,78.41,3,17,4,3,1,3,0,0
16,0,64.22,2,5,4,2,1,0,3,1
16,0,107.0,10,1,4,2,0,0,0,1
97,0,185.22,10,21,4,3,2,0,5,0
146,1,81.25,8,5,3,1,0,0,0,1
104,0,90.95,4,8,4,2,2,0,3,0
204,1,94.59,8,18,4,5,2,0,0,0
243,0,89.17,9,4,4,6,4,0,0,0
183,1,112.0,8,9,3,3,0,0,0,0
3,0,134.0,10,10,4,0,1,3,0,1
60,3,149.77,9,29,4,2,0,1,3,1
16,0,156.92,11,7,4,5,1,0,0,0
36,0,104.49,5,7,4,1,0,3,0,1
11,2,153.0,8,28,4,2,0,0,5,1
1,0,108.0,7,20,4,1,0,3,0,1
159,0,114.3,8,7,4,1,2,0,0,0
140,2,76.5,8,10,4,6,3,0,0,1
11,2,78.94,9,8,3,4,0,0,1,1
184,2,128.7,10,17,4,3,1,0,3,0
115,0,109.65,5,11,4,4,0,0,0,0
31,0,80.0,12,28,3,2,1,0,0,1
110,3,143.1,6,3,4,1,0,0,0,1
19,2,171.0,3,11,4,2,1,1,3,1
187,0,111.35,8,28,4,5,2,0,0,0
1,1,108.0,7,20,4,1,0,3,0,1
168,2,127.0,10,1,4,1,1,0,0,0
13,0,170.0,11,8,2,2,0,0,0,1
0,0,97.0,2,24,4,1,0,0,0,1
58,1,153.0,4,5,4,3,0,1,3,1
53,0,140.4,6,17,4,2,0,0,3,0
47,0,105.3,4,11,4,1,1,0,0,0
102,2,85.0,11,17,4,3,2,0,0,0
26,1,119.0,10,9,4,0,2,3,0,0
6,0,129.0,5,12,2,1,0,0,0,1
74,0,135.9,8,28,4,0,1,0,0,1
9,1,166.0,7,13,4,3,0,0,3,1
125,1,116.1,6,17,4,2,0,3,0,1
220,1,99.0,8,15,4,1,1,3,0,1
76,0,132.6,4,30,4,2,2,0,3,1
0,1,65.0,8,1,2,0,1,0,0,1
40,1,69.5,1,14,4,3,1,3,0,1
1,2,90.0,8,8,4,1,1,0,0,1
51,0,123.3,8,29,4,5,2,0,3,1
3,0,116.4,10,10,4,1,2,3,0,1
0,0,107.0,6,30,4,1,0,3,0,1
13,1,134.75,11,7,4,1,1,3,0,1
17,0,224.33,3,26,4,1,2,0,5,0
224,0,0.0,10,2,4,2,1,0,0,1
4,0,85.0,2,12,3,2,2,0,0,1
128,0,142.25,6,26,3,1,2,1,0,1
235,0,97.71,9,28,4,2,0,0,0,0
3,0,103.0,3,7,4,1,1,0,0,1
63,1,109.0,6,9,4,1,0,3,0,1
0,1,0.0,10,12,1,1,1,0,0,1
0,0,80.0,12,23,4,1,0,3,0,1
64,1,81.08,7,18,4,2,1,0,0,1
184,1,96.9,7,11,3,4,1,0,0,1
79,0,82.45,3,30,4,4,2,0,0,0
57,1,128.0,10,17,4,3,1,0,0,1
122,1,86.0,3,27,3,1,2,1,0,1
19,1,115.11,10,29,4,5,2,0,3,1
52,1,120.7,12,3,4,3,2,1,0,1
30,1,144.9,7,12,4,2,0,0,0,1
120,0,110.59,5,12,4,3,1,0,0,0
161,1,60.98,3,15,4,3,0,3,0,1
65,0,80.75,10,16,3,2,2,0,0,1
88,0,105.0,5,9,3,4,1,1,0,1
31,0,99.0,8,30,4,4,0,3,0,0
18,1,89.0,1,16,4,1,0,0,0,1
114,0,41.43,11,30,3,5,2,0,0,1
55,0,190.8,10,6,4,3,0,0,5,0
34,0,94.3,10,15,4,3,2,3,1,1
203,0,72.25,8,26,3,2,1,0,0,1
4,1,156.0,3,5,4,1,0,1,3,1
100,1,93.3,3,25,4,2,1,0,0,0
40,1,87.3,9,6,4,2,0,3,0,1
27,1,119.33,11,12,4,1,2,0,3,1
64,0,121.72,11,7,4,3,1,3,0,1
108,0,110.75,5,8,3,0,2,1,0,0
104,0,109.65,5,11,4,5,2,3,0,0
130,0,84.15,4,18,4,3,1,0,0,1
50,2,115.58,5,14,4,2,2,0,3,1
50,0,12.0,2,22,3,5,2,0,4,0
28,1,77.39,2,5,4,2,2,0,1,1
194,0,102.85,9,1,4,3,1,0,0,0
179,0,127.8,8,31,4,2,0,0,0,0
7,1,201.0,4,20,4,3,0,0,5,0
296,0,81.0,9,21,3,4,0,1,0,1
1,3,79.5,12,20,4,1,0,3,0,1
0,2,148.0,6,8,4,1,0,0,3,1
72,1,108.0,10,18,4,2,0,3,0,0
18,2,69.0,12,1,4,2,0,0,0,1
0,2,45.0,4,28,3,1,0,0,0,1
206,1,99.21,8,28,4,5,2,0,0,0
5,1,65.0,7,25,2,0,1,0,0,1
30,0,68.7,2,12,4,2,1,0,0,0
10,1,153.0,8,25,4,4,0,0,5,1
0,0,65.0,12,21,2,0,1,0,0,1
76,1,71.05,10,30,4,4,2,0,3,1
62,1,91.48,4,21,4,3,0,0,3,1
35,2,96.3,10,20,4,4,0,0,0,1
48,1,74.8,11,13,4,5,2,3,0,0
30,0,85.5,6,19,3,2,2,0,0,1
0,0,170.0,9,29,4,1,0,0,0,1
32,0,85.5,10,9,3,1,2,0,0,1
4,1,65.0,10,11,2,3,0,0,0,1
5,1,141.0,6,18,4,1,1,0,0,1
210,1,83.85,10,3,4,0,1,0,0,1
42,1,103.84,4,21,4,3,1,0,0,1
4,0,65.0,11,16,2,0,1,0,0,1
68,0,90.95,4,17,3,3,2,0,3,1
123,1,114.75,5,22,4,4,2,0,3,0
2,0,102.7,8,2,4,1,0,0,0,1
47,1,112.5,3,18,4,2,0,0,3,0
149,0,118.8,8,20,4,1,2,0,3,0
55,1,135.9,9,18,4,0,1,0,0,1
1,1,96.3,10,23,4,2,2,0,0,1
66,0,92.7,9,7,4,1,0,0,0,0
0,0,66.0,2,23,2,3,0,0,0,1
127,0,127.62,7,1,4,5,2,0,3,0
59,1,109.8,8,31,4,3,0,0,0,1
223,1,89.73,9,2,4,12,4,3,0,0
98,0,126.9,5,17,4,3,0,0,0,1
20,2,96.9,12,21,4,4,2,0,3,1
5,3,120.0,11,21,4,0,1,0,0,1
5,0,88.8,11,14,4,0,1,0,0,1
144,0,137.7,7,23,4,1,2,0,0,0
13,1,100.0,9,15,2,1,0,3,0,1
19,1,95.9,9,19,3,1,1,3,0,1
128,0,67.22,3,18,4,2,1,0,0,1
65,0,79.2,11,20,4,0,1,3,0,1
252,2,95.4,9,16,4,1,0,3,0,0
178,0,124.5,8,18,4,3,0,0,0,0
102,0,46.66,7,29,4,5,2,3,0,1
102,0,79.2,12,5,4,1,1,3,0,0
45,1,70.5,2,18,4,3,0,3,0,1
96,0,78.2,11,6,3,5,2,0,3,0
0,1,116.1,6,1,4,1,0,3,0,1
3,0,114.5,9,3,4,2,0,0,0,1
0,0,119.0,6,2,4,1,0,3,0,1
1,0,211.0,3,23,4,3,0,0,5,0
127,3,106.2,12,22,4,2,0,0,0,1
68,0,0.0,9,29,4,2,0,1,0,1
54,1,89.46,3,17,4,3,1,0,0,0
83,0,74.1,6,27,4,2,1,3,0,1
36,1,126.0,9,1,4,1,0,0,0,0
23,2,110.0,8,31,4,4,0,3,0,1
89,0,137.7,7,25,4,2,1,0,3,0
42,1,86.4,9,30,4,1,0,0,0,1
6,0,68.67,11,24,4,3,2,3,0,1
1,1,205.0,9,27,4,2,0,0,3,1
15,0,97.0,2,5,2,2,1,0,4,1
83,1,135.9,8,1,4,3,1,0,0,1
25,0,159.0,10,19,4,3,0,0,0,0
88,1,90.68,10,29,4,2,2,0,0,1
28,1,141.67,12,30,3,2,1,0,0,1
2,1,117.65,3,23,4,2,0,0,0,1
55,1,94.5,10,9,4,2,0,0,0,1
10,1,120.35,5,29,4,0,1,0,0,1
45,0,67.5,3,8,4,1,0,3,0,0
1,1,130.0,11,16,4,2,0,0,3,1
4,1,67.0,10,3,2,0,1,0,0,1
16,1,129.0,10,5,3,1,0,0,0,1
72,1,115.0,9,14,2,2,0,3,0,0
0,0,83.5,10,25,3,0,2,1,0,1
0,2,95.0,11,14,2,4,1,0,0,1
79,1,126.9,6,9,4,3,0,0,0,1
2,0,109.0,6,2,2,1,0,0,4,1
137,1,85.16,11,28,4,4,1,0,1,0
40,1,134.1,7,23,4,1,0,3,0,1
2,0,123.0,10,18,2,1,2,0,0,1
42,2,162.5,8,21,4,5,4,0,3,1
4,0,110.71,10,24,4,0,1,3,3,1
42,1,74.8,12,9,4,2,2,3,0,1
55,1,123.3,9,2,4,2,1,0,3,1
67,1,75.54,9,5,4,2,1,0,0,1
126,1,111.35,5,9,4,5,1,0,3,1
59,2,129.2,12,13,4,5,0,1,3,1
38,0,95.2,12,27,4,4,0,3,0,1
67,1,82.45,3,29,4,5,0,0,0,1
164,0,116.1,9,4,4,2,2,3,0,0
42,0,80.3,2,20,4,1,0,0,0,1
61,1,94.5,7,23,4,3,2,3,0,1
6,1,65.0,11,24,2,1,0,0,0,1
31,1,95.0,5,15,2,3,2,0,0,1
57,0,60.0,11,17,3,3,0,0,3,1
1,0,86.43,12,27,3,5,2,0,0,1
12,0,148.0,12,30,4,2,0,0,3,1
43,1,203.85,8,15,4,2,1,1,0,1
190,0,110.0,6,22,3,4,1,0,6,0
221,2,115.5,9,29,4,3,0,0,0,0
8,1,90.0,11,25,4,2,0,0,0,1
11,2,107.67,11,19,4,1,2,0,0,1
207,1,105.3,8,5,4,2,0,0,3,0
224,1,96.3,10,29,4,1,2,0,0,0
21,0,67.32,12,19,4,4,1,0,0,1
59,1,99.9,7,23,4,1,1,0,0,1
105,0,150.3,8,24,4,4,0,0,3,0
23,0,95.0,10,15,0,1,2,0,0,0
294,1,76.58,10,23,4,3,2,0,3,1
164,0,116.1,9,19,4,6,3,3,0,0
4,2,127.0,12,31,4,2,0,0,0,1
12,1,100.0,2,20,3,2,2,0,0,1
70,1,85.5,4,6,4,3,0,3,0,1
32,1,0.0,11,15,4,0,0,3,0,1
79,0,125.38,4,28,4,3,1,0,3,1
64,0,138.24,11,9,4,4,1,0,3,1
242,0,108.8,9,10,4,2,2,0,3,0
276,0,61.0,5,13,4,3,2,0,0,0
91,0,133.2,8,6,4,1,2,0,3,1
78,1,96.3,4,14,4,3,0,0,0,1
5,0,66.0,2,1,3,3,1,0,0,1
2,1,161.0,5,28,4,1,0,0,0,1
7,1,0.0,1,29,1,2,0,0,3,1
87,0,176.85,8,15,4,0,1,1,0,0
31,0,132.6,6,16,4,1,0,0,3,0
16,1,118.0,2,19,3,2,1,0,0,1
24,2,87.78,9,19,4,1,1,0,0,1
28,1,98.0,10,12,2,1,0,0,0,1
0,1,111.33,3,22,4,3,0,3,0,1
46,0,107.1,6,28,4,2,0,3,0,0
89,0,85.0,9,4,3,4,2,0,0,1
159,0,103.21,6,12,4,2,2,0,1,0
64,2,168.3,9,19,4,3,1,0,3,1
33,0,72.38,2,17,3,4,0,0,3,1
14,0,105.0,7,21,2,2,0,0,0,0
9,0,148.0,12,31,4,1,1,0,3,1
28,0,85.6,11,11,3,4,0,0,0,1
4,0,116.0,9,26,3,1,1,0,0,1
18,0,104.0,11,25,4,2,0,0,0,0
63,1,92.28,5,16,4,3,1,0,0,1
6,0,67.0,10,6,2,1,0,0,0,1
4,2,79.0,12,5,2,1,1,0,0,1
64,1,140.0,5,17,2,2,0,0,0,1
228,2,115.6,10,5,4,4,2,0,3,0
30,2,139.5,9,15,4,1,0,0,0,1
121,1,88.77,6,30,4,2,0,0,1,1
33,2,138.0,10,25,4,5,0,0,0,1
80,0,72.25,7,24,3,2,2,0,0,1
122,0,99.45,5,3,4,4,0,0,0,0
69,2,135.9,8,16,4,3,0,0,0,1
6,0,100.8,10,11,3,1,2,0,0,1
0,1,90.0,8,1,4,0,1,3,0,1
13,2,0.0,2,17,1,2,0,0,3,1
6,2,171.0,8,7,4,0,1,0,0,1
103,0,72.25,7,18,3,3,1,0,0,0
247,0,115.0,6,6,4,1,1,1,0,0
4,0,65.0,11,13,2,1,2,0,0,1
28,1,117.0,9,12,4,1,2,0,0,0
1,0,195.0,9,26,4,0,1,3,4,1
179,2,107.1,10,28,4,3,2,0,0,0
53,0,75.0,11,18,3,2,0,0,0,1
116,0,75.27,6,30,4,3,2,3,0,1
0,0,90.0,1,25,4,0,1,3,0,1
32,1,130.5,7,25,4,2,1,0,0,0
109,0,118.8,10,20,4,3,0,0,0,0
94,0,102.68,9,3,3,2,2,0,0,1
64,0,73.95,2,12,4,2,2,0,0,0
41,2,142.2,9,1,4,1,0,0,3,1
18,0,95.0,9,25,3,3,2,0,0,1
123,1,76.5,7,13,4,0,1,0,0,0
31,1,77.47,6,26,4,1,2,0,0,1
63,0,168.3,8,8,4,0,1,0,3,0
94,0,168.3,9,5,4,0,1,0,3,0
0,0,65.0,5,4,2,2,0,0,0,1
5,1,98.0,5,4,2,1,0,0,0,1
36,2,67.5,8,28,3,1,2,0,0,1
14,1,120.0,10,5,4,0,1,0,0,1
2,0,169.33,8,15,4,2,1,3,0,1
91,1,90.9,4,12,4,3,0,0,0,1
107,0,52.36,7,17,4,2,0,0,0,0
13,0,82.0,1,11,3,2,1,0,0,1
122,2,81.26,8,21,3,5,3,0,0,1
173,2,167.45,12,9,4,3,2,1,3,0
58,1,123.3,3,31,4,3,0,0,3,1
76,1,85.5,4,25,4,1,1,3,0,1
27,0,66.0,3,6,3,1,2,0,0,1
142,1,186.3,8,3,4,3,0,0,5,1
34,0,115.2,3,22,4,3,0,0,0,0
38,3,77.23,11,2,4,4,0,0,3,1
37,1,112.68,10,16,4,1,2,0,0,1
66,3,93.6,11,3,4,3,0,0,0,1
3,0,88.0,11,28,2,0,1,0,0,1
102,1,119.85,6,8,4,4,1,0,0,1
175,0,126.9,9,11,4,0,1,0,0,0
8,2,99.0,8,13,4,3,0,0,0,1
35,1,117.0,9,25,4,1,2,0,0,1
46,1,128.38,11,4,4,3,2,0,0,1
75,0,12.0,3,17,3,3,1,0,0,0
121,0,85.0,6,16,3,3,0,3,0,1
65,1,85.0,8,12,3,2,1,0,0,1
34,1,103.89,8,27,4,5,2,3,0,1
97,0,140.4,5,24,4,3,0,0,3,1
72,2,87.3,4,3,4,1,2,0,0,1
18,0,88.8,5,9,3,1,1,0,0,1
10,0,103.0,3,19,4,1,1,0,0,1
228,3,123.25,10,20,4,3,1,1,0,1
6,0,176.0,2,24,4,2,0,0,5,1
0,1,44.0,1,5,4,2,0,3,0,1
59,0,82.45,3,13,4,2,2,0,3,0
11,1,127.6,8,19,4,1,0,0,1,1
130,2,139.5,9,29,4,3,0,0,3,0
32,0,80.08,11,16,4,3,0,0,0,0
12,1,178.5,9,24,4,3,1,3,0,1
20,0,80.0,11,4,4,1,0,3,0,0
9,1,62.58,2,6,4,6,2,3,0,1
123,1,94.5,5,17,4,3,0,3,0,1
80,0,81.9,4,3,4,0,2,0,0,0
108,2,102.3,4,14,4,3,0,0,3,1
32,2,184.99,5,13,4,2,1,0,6,1
74,0,145.1,12,30,3,2,1,0,0,1
27,0,167.2,9,9,4,2,2,0,4,1
206,0,90.95,7,25,4,4,1,0,0,0
57,1,117.73,4,26,4,4,0,0,3,1
17,0,145.0,4,14,4,2,0,0,0,0
0,0,140.0,10,30,4,0,1,0,0,1
184,0,69.9,11,24,4,3,0,3,0,0
101,0,222.17,10,23,4,5,2,1,5,0
42,0,91.8,11,1,4,5,0,0,0,0
0,0,67.0,4,1,2,1,0,0,0,1
181,0,76.5,7,1,4,4,1,0,0,0
1,0,66.0,2,3,2,1,0,0,0,1
116,3,143.1,9,18,4,3,2,0,3,1
18,2,151.0,8,6,4,2,2,0,0,1
153,1,90.0,12,10,4,1,2,0,0,1
58,0,120.0,4,28,4,3,0,0,0,0
81,0,103.5,7,3,4,3,2,3,0,1
11,1,68.5,1,22,4,1,0,3,0,1
79,1,160.78,12,30,3,2,0,0,0,1
78,0,65.58,3,7,3,2,1,0,0,1
32,1,109.0,10,25,4,5,0,3,0,1
5,1,125.0,4,21,4,3,2,0,0,1
118,1,118.8,8,2,4,3,0,0,3,1
0,0,124.0,8,21,4,2,1,0,0,0
0,0,75.0,7,27,3,2,1,0,0,1
133,0,86.36,8,15,3,2,1,0,0,0
12,2,85.6,10,31,3,1,1,0,0,1
113,1,116.1,6,9,4,3,0,3,0,1
46,1,59.56,3,12,4,2,2,0,0,1
4,0,95.0,5,9,3,2,1,0,0,1
22,1,139.0,7,6,4,2,0,3,0,1
45,1,116.1,5,21,4,2,2,3,0,1
